,VECKA 43 - Smygstart,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Easy run,Easy run BBA,4x10,Easy run,Easy run,4x10,8,,,,,,
,,,,Rullisar 90min,,,,,,,,,,,
,Intensitet,Låg,Låg,Låg,med,låg,låg,med,,,,,,,
,Tid på dagen,,,,,Morgon,,,,,,,,,
,Tid,30,75,120,,30,45,80,"6,333333333",,,,,,
,Info,,,,@ 21 pace ~4:10,,,@ 21 pace ~4:10,,,,,,,
,,,,,,,,,,,,,,,
,KM,6,12,5,,6,,15,44,,,,,,
,VECKA 44,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,Nyckelpass,Intensitet,Längd,Distans,Fokus och vad?
,Pass,Easy run,Linne intervaller,Gym ben,Easy run,Ultramara,,Easy run,6,,Easy run,låg,45-60,8-11,Utfyllnad och för att bygga volym. Läggs in emmellan alla priopass i planen. Chill pace
,,,,,,,,,,,,,,,
,Intensitet,Låg,Hög,låg,låg,låg,,Låg,,,Easy run prep.,låg,25-35,5-7,"För att hålla igång benen mellan dagar med högintensiva pass och tävlingar, läggs in emellan tävlingar och riktigt tuffa pass. Kan även addera 3-6x1min strides för att få fart på benen."
,Tid på dagen,,,,,,,,,,,,,,
,Tid,75,75,75,45,240,,60,"9,5",,Styrka,låg,30-120,,Fokus på maxstyrka med tunga vikter på skivstång under vintern. Alltid fokus på knä och ledstabilitet och styrka i alla små muskler.
,Info,,,Ben + easy run 4k,,,,,,,,,,,
,,,,,,,,,,,Distans,låg,75-120,12-22,"Lugnt snackpass, för att bygga volym och distansvana. Kan köras med gel."
,KM,12,13,4,9,50,,8,96,,,,,,
,VECKA 45,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,Fartlek/segmentjakt,med,30-60,6-10,"För att få ett roligare pass med fart, eller ett farpass när kroppen är för sliten för intervaller. Valfria distanser och tempon efter känsla. ~5-15 min aktiv tid."
,Pass,Gym ben,Tisdagsbana,Easy run,5x4,Easy run,5x4,Easy run,7,,,,,,
,,,,,,,,,,,OL teknik,med,30-75,5-10,"För att få in vana och träna på OL tekniken och fokus in action. Körs bäst i högre fart, typ vad man kallar flytfart, fokus hela tiden. Kan också köras socialt som ""easy run""."
,Intensitet,låg,med,låg,hög,Låg,hög,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,Fartlek skog a la pappa,med,45-75,7-11,"Fartlek fast i skogen, lägre tempon och längre ökningar. Kan vara 30-60 min tempozon i skogen utan vila, eller 5x3/3 on off."
,Tid,75,120,45,45,75,45,75,8,,,,,,
,Info,,,,@3:35/km aka 5k pace,,@3:35/km aka 5k pace,,,,Mosse tröskel,med,45-60,5-9,"Tröskel i mosse för att få högre puls vid lägre tempo. Körs förslagsvis på en slinga 5-15min lång, ~20-30min aktivt."
,,,,,,,,,,,,,,,
,KM,,15,8,2,12,10,12,59,,Fartlek 5k prio,hög,35-50,6-8,För att träna på att racea 3-10k och ha jämna och pålitliga splits. Antingen 3000m @90% eller 4-5x800-1000/1' @95% av 5k pace. Med superfokus på rätt varvtider.
,VECKA 46,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
